APP_id,Rank,Title,Catogory,Total Rating,Installs,Average Rating,Growth(30 days),Growth(60 days),Price,URL
app00110,110,X Launcher for Phone X Max - OS 12 Theme Launcher,Art & Design,"10,847",1.0 M,4.24,2.10%,4.90%,Free,/application/x_launcher_for_phone_x_max_os_12_theme_launcher/com.iphone.xs.launcher.ios12.theme
app00111,111,ملصقات واتساب 2020 - WAStickerApps,Art & Design,"10,723",500.0 k,4.43,42.70%,140.60%,Free,/application/_2020_wastickerapps/com.coolstickers.namestickers
app00112,112,Emoji Letter Maker 😍,Art & Design,"10,605",1.0 M,4.24,2.70%,5.70%,Free,/application/emoji_letter_maker_/com.eladfinish.emojilettermaker
app00113,113,BTS Wallpaper 2020 - BTS Fanart Wallpapers HD,Art & Design,"10,510",500.0 k,4.74,7.10%,17.10%,Free,/application/bts_wallpaper_2020_bts_fanart_wallpapers_hd/com.beautywall.bts.wallpaper.btswallpaper.bts.offline.free
app00114,114,"Artecture Draw, Sketch, Paint",Art & Design,"10,312",1.0 M,3.68,0.70%,1.80%,Free,/application/artecture_draw_sketch_paint/com.samsung.android.sdrawing
app00115,115,Stylish Name Maker,Art & Design,"10,301",500.0 k,4.13,0.00%,0.00%,Free,/application/stylish_name_maker/com.skyapps.stylish.name.maker
app00116,116,Adult Coloring Book Free 2020 👩 🎨 by ColorWolf,Art & Design,"10,012",1.0 M,3.45,0.40%,0.80%,Free,/application/adult_coloring_book_free_2020_by_colorwolf/com.blondeagames.art.coloring.book
app00117,117,Anime Paint - Color By Number,Art & Design,"9,869",500.0 k,4.64,23.60%,63.50%,Free,/application/anime_paint_color_by_number/com.dragonplus.animepaint
app00118,118,Logo Esport Premium | Logo Maker Esport,Art & Design,"9,866",1.0 M,4.34,28.20%,86.50%,Free,/application/logo_esport_premium_logo_maker_esport/logoesport.maker.yadesign
app00119,119,Fruits Coloring Book & Drawing Book,Art & Design,"9,846",5.0 M,3.92,1.00%,2.10%,Free,/application/fruits_coloring_book_drawing_book/com.coloringbook.fruitsdrawingbook
app00120,120,How to Draw Graffiti - Name Creator,Art & Design,"9,778",1.0 M,4.12,8.50%,25.40%,Free,/application/how_to_draw_graffiti_name_creator/com.sweefitstudios.drawgraffiticreator
app00121,121,Over: Add Text to Photos & Graphic Design Maker,Art & Design,"9,671",1.0 M,4.52,13.40%,34.50%,Free,/application/over_add_text_to_photos_graphic_design_maker/app.over.editor
app00122,122,"Logo Maker 2020- Logo Creator, Logo Design",Art & Design,"9,628",1.0 M,4.52,25.60%,79.50%,Free,/application/logo_maker_2020_logo_creator_logo_design/com.wildDevLab.LogoMakerFreePro
app00123,123,Glitter Beauty Coloring Book ❤,Art & Design,"9,566",5.0 M,3.9,3.80%,8.30%,Free,/application/glitter_beauty_coloring_book_/com.forqan.tech.BeautyColoring
app00124,124,Word Cloud,Art & Design,"9,506",1.0 M,4.13,2.30%,7.10%,Free,/application/word_cloud/ice.lenor.nicewordplacer.app
